|product_name|product_url|product_image_url|product_price|site_name|currency|price|url
36|Men's Philadelphia Flyers adidas Orange Authentic Pro - Blank Jersey|https://www.nhlshop.ca/en/philadelphia-flyers/mens-philadelphia-flyers-adidas-orange-authentic-pro-blank-jersey/t-47150763+p-2476232348513+z-9-2999198866?_ref=p-OSLP:m-GRID:i-r12c0:po-36|/en/philadelphia-flyers/mens-philadelphia-flyers-adidas-orange-authentic-pro-blank-jersey/t-47150763+p-2476232348513+z-9-2999198866?_ref=p-OSLP:m-GRID:i-r12c0:po-36|159.99|NHLShopCanada|CAD||
37|Men's Toronto Arenas Auston Matthews adidas Blue Authentic - Player Jersey|https://www.nhlshop.ca/en/toronto-maple-leafs/mens-toronto-arenas-auston-matthews-adidas-blue-authentic-player-jersey/t-36372040+p-0275212736213+z-9-1482381491?_ref=p-OSLP:m-GRID:i-r12c1:po-37|/en/toronto-maple-leafs/mens-toronto-arenas-auston-matthews-adidas-blue-authentic-player-jersey/t-36372040+p-0275212736213+z-9-1482381491?_ref=p-OSLP:m-GRID:i-r12c1:po-37|199.99|NHLShopCanada|CAD||
38|Men's Winnipeg Jets Patrik Laine Fanatics Branded Navy Breakaway - Player Jersey|https://www.nhlshop.ca/en/winnipeg-jets/mens-winnipeg-jets-patrik-laine-fanatics-branded-navy-breakaway-player-jersey/t-36044265+p-795368959113+z-8-780177213?_ref=p-OSLP:m-GRID:i-r12c2:po-38|/en/winnipeg-jets/mens-winnipeg-jets-patrik-laine-fanatics-branded-navy-breakaway-player-jersey/t-36044265+p-795368959113+z-8-780177213?_ref=p-OSLP:m-GRID:i-r12c2:po-38|75.99|NHLShopCanada|CAD||
39|Men's Washington Capitals adidas Red 2020/21 Home - Authentic Pro Jersey|https://www.nhlshop.ca/en/washington-capitals/mens-washington-capitals-adidas-red-2020/21-home-authentic-pro-jersey/t-36155397+p-1599268290382+z-9-2228535736?_ref=p-OSLP:m-GRID:i-r13c0:po-39|/en/washington-capitals/mens-washington-capitals-adidas-red-2020/21-home-authentic-pro-jersey/t-36155397+p-1599268290382+z-9-2228535736?_ref=p-OSLP:m-GRID:i-r13c0:po-39|159.99|NHLShopCanada|CAD||
40|Men's Toronto Maple Leafs Mitchell Marner adidas White Away Authentic Player - Jersey|https://www.nhlshop.ca/en/toronto-maple-leafs/mens-toronto-maple-leafs-mitchell-marner-adidas-white-away-authentic-player-jersey/t-36719739+p-261384886989+z-8-3574767807?_ref=p-OSLP:m-GRID:i-r13c1:po-40|/en/toronto-maple-leafs/mens-toronto-maple-leafs-mitchell-marner-adidas-white-away-authentic-player-jersey/t-36719739+p-261384886989+z-8-3574767807?_ref=p-OSLP:m-GRID:i-r13c1:po-40|199.99|NHLShopCanada|CAD||
41|Men's Vancouver Canucks adidas Purple Hockey Fights Cancer Practice - Jersey|https://www.nhlshop.ca/en/vancouver-canucks/mens-vancouver-canucks-adidas-purple-hockey-fights-cancer-practice-jersey/t-36370885+p-5732417896992+z-9-1427551798?_ref=p-OSLP:m-GRID:i-r13c2:po-41|/en/vancouver-canucks/mens-vancouver-canucks-adidas-purple-hockey-fights-cancer-practice-jersey/t-36370885+p-5732417896992+z-9-1427551798?_ref=p-OSLP:m-GRID:i-r13c2:po-41|99.99|NHLShopCanada|CAD||
42|Men's Edmonton Oilers adidas Blue Practice - Jersey|https://www.nhlshop.ca/en/edmonton-oilers/mens-edmonton-oilers-adidas-blue-practice-jersey/t-25590606+p-7062285959668+z-9-691044577?_ref=p-OSLP:m-GRID:i-r14c0:po-42|/en/edmonton-oilers/mens-edmonton-oilers-adidas-blue-practice-jersey/t-25590606+p-7062285959668+z-9-691044577?_ref=p-OSLP:m-GRID:i-r14c0:po-42|72.99|NHLShopCanada|CAD||
43|Men's Toronto Maple Leafs Frederik Andersen adidas Blue Home Authentic Player - Jersey|https://www.nhlshop.ca/en/toronto-maple-leafs/mens-toronto-maple-leafs-frederik-andersen-adidas-blue-home-authentic-player-jersey/t-36481940+p-6906067125533+z-9-2649770634?_ref=p-OSLP:m-GRID:i-r14c1:po-43|/en/toronto-maple-leafs/mens-toronto-maple-leafs-frederik-andersen-adidas-blue-home-authentic-player-jersey/t-36481940+p-6906067125533+z-9-2649770634?_ref=p-OSLP:m-GRID:i-r14c1:po-43|99.99|NHLShopCanada|CAD||
44|Men's Buffalo Sabres adidas Royal 2020/21 Home - Authentic Pro Jersey|https://www.nhlshop.ca/en/buffalo-sabres/mens-buffalo-sabres-adidas-royal-2020/21-home-authentic-pro-jersey/t-25603864+p-9390457260190+z-9-317953710?_ref=p-OSLP:m-GRID:i-r14c2:po-44|/en/buffalo-sabres/mens-buffalo-sabres-adidas-royal-2020/21-home-authentic-pro-jersey/t-25603864+p-9390457260190+z-9-317953710?_ref=p-OSLP:m-GRID:i-r14c2:po-44|159.99|NHLShopCanada|CAD||
45|Men's Edmonton Oilers Ethan Bear adidas Orange Home Authentic Player - Jersey|https://www.nhlshop.ca/en/edmonton-oilers/mens-edmonton-oilers-ethan-bear-adidas-orange-home-authentic-player-jersey/t-36152895+p-9322228981396+z-9-1391831131?_ref=p-OSLP:m-GRID:i-r15c0:po-45|/en/edmonton-oilers/mens-edmonton-oilers-ethan-bear-adidas-orange-home-authentic-player-jersey/t-36152895+p-9322228981396+z-9-1391831131?_ref=p-OSLP:m-GRID:i-r15c0:po-45|99.99|NHLShopCanada|CAD||
